matricola,biancaneve,tree_transcode_level,is_shuffle_of,TOTALE,voto
VR394409,0.0,0.0,0.0,0.0,
VR400386,0.0,40.0,0.0,40.0,26
VR406832,0.0,0.0,0.0,0.0,
VR407143,0.0,0.0,0.0,0.0,
VR407837,0.0,0.0,0.0,0.0,
VR407847,0.0,0.0,0.0,0.0,
VR409637,0.0,0.0,0.0,0.0,
VR411086,0.0,0.0,0.0,0.0,
VR411577,0.0,0.0,0.0,0.0,
VR413877,0.0,0.0,0.0,0.0,
VR414626,0.0,0.0,0.0,0.0,
VR417470,0.0,0.0,0.0,0.0,
VR417714,0.0,0.0,0.0,0.0,
VR418380,0.0,0.0,0.0,0.0,
VR418467,0.0,0.0,0.0,0.0,
VR418768,0.0,0.0,0.0,0.0,
VR418781,10.0,0.0,0.0,10.0,18
VR420921,12.0,0.0,0.0,12.0,18
VR421018,0.0,0.0,0.0,0.0,
VR423652,0.0,0.0,0.0,0.0,
VR424222,0.0,0.0,0.0,0.0,
VR424301,0.0,0.0,0.0,0.0,
VR424402,10.0,0.0,0.0,10.0,18
VR424611,0.0,0.0,0.0,0.0,
VR424649,0.0,0.0,0.0,0.0,
VR424867,0.0,0.0,0.0,0.0,
VR424987,0.0,0.0,0.0,0.0,
VR432075,12.0,0.0,0.0,12.0,18
VR432225,0.0,0.0,0.0,0.0,
VR432403,0.0,0.0,0.0,0.0,
VR433441,0.0,50.0,0.0,50.0,28
VR433534,0.0,0.0,0.0,0.0,
VR434292,0.0,0.0,0.0,0.0,
VR434403,12.0,0.0,0.0,12.0,18
VR435956,14.0,0.0,0.0,14.0,
VR437055,0.0,90.0,68.0,158.0,30+lode
VR437056,0.0,0.0,0.0,0.0,
VR437058,10.0,0.0,0.0,10.0,18
VR439214,0.0,0.0,0.0,0.0,
VR439237,0.0,0.0,0.0,0.0,
VR439254,0.0,0.0,0.0,0.0,
VR439318,0.0,0.0,0.0,0.0,
VR439325,0.0,0.0,0.0,0.0,
VR439370,0.0,0.0,0.0,0.0,
VR439620,10.0,0.0,0.0,10.0,18
VR439670,0.0,0.0,0.0,0.0,
VR439692,0.0,0.0,0.0,0.0,
VR440462,26.0,0.0,0.0,26.0,22

