Username,2020-09-18-chordal_lexBFS,2020-09-18-altopiano,2020-09-18-gioco_parentesi,incremento_sul_voto_appello_2020-09-18
VR451275_id420ehk,[100],[100],[100],+3
VR445204_id954ptc,[100],[100],5.0,+2
VR451562_id473eyb,[100],[100],0.0,+2
VR445435_id495pug,100.0,[100],0.0,+1
VR423652_id299avh,0.0,[100],[100],+2
VR445261_id096lay,30.0,100.0,0.0,-
VR424616_id163zjd,20.0,[100],5.0,+1
VR439318_id057zkp,20.0,[100],4.0,+1
VR445639_id956tpd,10.0,100.0,5.0,-
VR436747_id878cue,0.0,[100],5.0,+1
VR449410_id693zhn,0.0,100.0,5.0,-
VR451060_id716xls,0.0,100.0,5.0,-
VR445766_id158clr,0.0,100.0,5.0,-
VR439254_id142nxb,40.0,60.0,4.0,-
VR439664_id915qvl,0.0,60.0,5.0,-
VR431583_id379osm,0.0,60.0,0.0,-
VR425420_id945iyb,20.0,25.0,0.0,-
VR445744_id831qkh,20.0,25.0,0.0,-
VR419626_id746dxp,0.0,25.0,5.0,-
VR433300_id814xih,0.0,25.0,5.0,-
VR449615_id856hvl,0.0,25.0,5.0,-
VR445263_id603hoc,0.0,26.0,0.0,-
VR423431_id022041,0.0,25.0,0.0,-
VR447268_id713ast,0.0,25.0,0.0,-
VR450864_id939fgd,0.0,0.0,5.0,-
VR445512_id287ipf,0.0,0.0,0.0,-
VR445569_id588nzp,0.0,0.0,0.0,-
VR446688_id836pkn,0.0,0.0,0.0,-
VR451059_id761ugc,0.0,0.0,0.0,-
VR455271_id195oqq,0.0,0.0,0.0,-
VR123456_id123456,0.0,0.0,0.0,-
VR424289_id308myt,0.0,0.0,0.0,-
VR439637_id088960,0.0,0.0,0.0,-
VR439670_id779mhi,0.0,0.0,0.0,-
VR439666_id715kuw,0.0,0.0,0.0,-
VR448249_id765wfu,0.0,0.0,0.0,-
VR421455_id953lyb,0.0,0.0,0.0,-
