Studente,mutually_unreachable,quanti_poldo,ricerca_binaria,Totale
VR496918,50,0,42,92
VR450977,2,0,84,86
VR472646,2,0,75,77
VR489133,50,0,16,66
VR463860,50,0,0,50
VR465463,50,0,0,50
VR478827,50,0,0,50
VR481889,50,0,0,50
VR486291,50,0,0,50
VR486359,50,0,0,50
VR487700,50,0,0,50
VR496214,50,0,0,50
VR487699,0,0,42,42
VR473579,1,0,16,17
VR496222,0,0,15,15
VR474098,8,0,0,8
VR472066,7,0,0,7
VR476706,2,1,0,3
VR480952,2,0,0,2
VR488110,2,0,0,2
VR445659,0,0,0,0
VR472433,0,0,0,0
VR474022,0,0,0,0
VR475346,0,0,0,0
VR478050,0,0,0,0
VR478828,0,0,0,0
VR480934,0,0,0,0
VR489524,0,0,0,0

